id,name,alias,iata_code,icao_code,callsign,country,active
1,Private flight,Unknown,-,Unknown,Unknown,Unknown,Y
2,135 Airways,Unknown,Unknown,GNL,GENERAL,United States,N
3,1Time Airline,Unknown,1T,RNX,NEXTIME,South Africa,Y
4,2 Sqn No 1 Elementary Flying Training School,Unknown,Unknown,WYT,Unknown,United Kingdom,N
5,213 Flight Unit,Unknown,Unknown,TFU,Unknown,Russia,N
6,223 Flight Unit State Airline,Unknown,Unknown,CHD,CHKALOVSK-AVIA,Russia,N
7,224th Flight Unit,Unknown,Unknown,TTF,CARGO UNIT,Russia,N
8,247 Jet Ltd,Unknown,Unknown,TWF,CLOUD RUNNER,United Kingdom,N
9,3D Aviation,Unknown,Unknown,SEC,SECUREX,United States,N
10,40-Mile Air,Unknown,Q5,MLA,MILE-AIR,United States,Y
11,4D Air,Unknown,Unknown,QRT,QUARTET,Thailand,N
12,611897 Alberta Limited,Unknown,Unknown,THD,DONUT,Canada,N
13,Ansett Australia,Unknown,AN,AAA,ANSETT,Australia,Y
14,Abacus International,Unknown,1B,Unknown,Unknown,Singapore,Y
15,Abelag Aviation,Unknown,W9,AAB,ABG,Belgium,N
16,Army Air Corps,Unknown,Unknown,AAC,ARMYAIR,United Kingdom,N
17,Aero Aviation Centre Ltd.,Unknown,Unknown,AAD,SUNRISE,Canada,N
18,Aero Servicios Ejecutivos Internacionales,Unknown,Unknown,SII,ASEISA,Mexico,N
19,Aero Biniza,Unknown,Unknown,BZS,BINIZA,Mexico,N
20,Aero Albatros,Unknown,Unknown,ABM,ALBATROS ESPANA,Spain,N
21,Aigle Azur,Unknown,ZI,AAF,AIGLE AZUR,France,Y
22,Aloha Airlines,Unknown,AQ,AAH,ALOHA,United States,Y
23,Alaska Island Air,Unknown,Unknown,AAK,ALASKA ISLAND,United States,N
24,American Airlines,Unknown,AA,AAL,AMERICAN,United States,Y
25,Aviation Management Corporation,Unknown,Unknown,AAM,AM CORP,United States,N
26,Atlantis Airlines (USA),Unknown,Unknown,AAO,ATLANTIS AIR,United States,N
27,Aerovista Airlines,Unknown,Unknown,AAP,AEROVISTA GROUP,United Arab Emirates,N
28,Asiana Airlines,Unknown,OZ,AAR,ASIANA,Republic Of Korea,Y
29,Askari Aviation,Unknown,4K,AAS,AL-AAS,Pakistan,Y
30,Australia Asia Airlines,Unknown,Unknown,AAU,AUSTASIA,Australia,N
31,Astro Air International,Unknown,Unknown,AAV,ASTRO-PHIL,United States,N
32,Afriqiyah Airways,Unknown,8U,AAW,AFRIQIYAH,Libya,Y
33,Afrinat International Airlines,Unknown,Q9,AFU,Unknown,Gambia,N
34,Afric'air Express,Unknown,Unknown,AAX,AFREX,Ivory Coast,N
35,Allegiant Air,Unknown,G4,AAY,ALLEGIANT,United States,Y
36,Angus Aviation,Unknown,Unknown,AAZ,ANGUS,Canada,N
