airport_id,name,city,country,iata_code,icao_code,latitude,longitude,Altitude,timezone_offset,DST,time_zone_identifier,airport_type,geom
1,Goroka Airport,Goroka,Papua New Guinea,GKA,AYGA,-6.081689834590001,145.391998291,5282,10,DST not observed,Pacific/Port_Moresby,airport,POINT(145.391998291 -6.081689834590001)
2,Madang Airport,Madang,Papua New Guinea,MAG,AYMD,-5.20707988739,145.789001465,20,10,DST not observed,Pacific/Port_Moresby,airport,POINT(145.789001465 -5.20707988739)
3,Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,HGU,AYMH,-5.826789855957031,144.29600524902344,5388,10,DST not observed,Pacific/Port_Moresby,airport,POINT(144.29600524902344 -5.826789855957031)
4,Nadzab Airport,Nadzab,Papua New Guinea,LAE,AYNZ,-6.569803,146.725977,239,10,DST not observed,Pacific/Port_Moresby,airport,POINT(146.725977 -6.569803)
5,Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,POM,AYPY,-9.44338035583496,147.22000122070312,146,10,DST not observed,Pacific/Port_Moresby,airport,POINT(147.22000122070312 -9.44338035583496)
6,Wewak International Airport,Wewak,Papua New Guinea,WWK,AYWK,-3.58383011818,143.669006348,19,10,DST not observed,Pacific/Port_Moresby,airport,POINT(143.669006348 -3.58383011818)
7,Narsarsuaq Airport,Narssarssuaq,Greenland,UAK,BGBW,61.1604995728,-45.4259986877,112,-3,Europe,America/Godthab,airport,POINT(-45.4259986877 61.1604995728)
8,Godthaab / Nuuk Airport,Godthaab,Greenland,GOH,BGGH,64.19090271,-51.6781005859,283,-3,Europe,America/Godthab,airport,POINT(-51.6781005859 64.19090271)
9,Kangerlussuaq Airport,Sondrestrom,Greenland,SFJ,BGSF,67.0122218992,-50.7116031647,165,-3,Europe,America/Godthab,airport,POINT(-50.7116031647 67.0122218992)
10,Thule Air Base,Thule,Greenland,THU,BGTL,76.5311965942,-68.7032012939,251,-4,Europe,America/Thule,airport,POINT(-68.7032012939 76.5311965942)
11,Akureyri Airport,Akureyri,Iceland,AEY,BIAR,65.66000366210938,-18.07270050048828,6,0,None,Atlantic/Reykjavik,airport,POINT(-18.07270050048828 65.66000366210938)
12,Egilsstaðir Airport,Egilsstadir,Iceland,EGS,BIEG,65.2833023071289,-14.401399612426758,76,0,None,Atlantic/Reykjavik,airport,POINT(-14.401399612426758 65.2833023071289)
13,Hornafjörður Airport,Hofn,Iceland,HFN,BIHN,64.295601,-15.2272,24,0,None,Atlantic/Reykjavik,airport,POINT(-15.2272 64.295601)
14,Húsavík Airport,Husavik,Iceland,HZK,BIHU,65.952301,-17.426001,48,0,None,Atlantic/Reykjavik,airport,POINT(-17.426001 65.952301)
15,Ísafjörður Airport,Isafjordur,Iceland,IFJ,BIIS,66.05809783935547,-23.135299682617188,8,0,None,Atlantic/Reykjavik,airport,POINT(-23.135299682617188 66.05809783935547)
16,Keflavik International Airport,Keflavik,Iceland,KEF,BIKF,63.985000610352,-22.605600357056,171,0,None,Atlantic/Reykjavik,airport,POINT(-22.605600357056 63.985000610352)
17,Patreksfjörður Airport,Patreksfjordur,Iceland,PFJ,BIPA,65.555801,-23.965,11,0,None,Atlantic/Reykjavik,airport,POINT(-23.965 65.555801)
18,Reykjavik Airport,Reykjavik,Iceland,RKV,BIRK,64.1299972534,-21.9405994415,48,0,None,Atlantic/Reykjavik,airport,POINT(-21.9405994415 64.1299972534)
19,Siglufjörður Airport,Siglufjordur,Iceland,SIJ,BISI,66.133301,-18.9167,10,0,None,Atlantic/Reykjavik,airport,POINT(-18.9167 66.133301)
20,Vestmannaeyjar Airport,Vestmannaeyjar,Iceland,VEY,BIVM,63.42430114746094,-20.27890014648437,326,0,None,Atlantic/Reykjavik,airport,POINT(-20.27890014648437 63.42430114746094)
21,Sault Ste Marie Airport,Sault Sainte Marie,Canada,YAM,CYAM,46.48500061035156,-84.5093994140625,630,-5,US/Canada,America/Toronto,airport,POINT(-84.5093994140625 46.48500061035156)
22,Winnipeg / St. Andrews Airport,Winnipeg,Canada,Unknown,CYAV,50.0564002991,-97.0325012207,760,-6,US/Canada,America/Winnipeg,airport,POINT(-97.0325012207 50.0564002991)
23,Halifax / CFB Shearwater Heliport,Halifax,Canada,Unknown,CYAW,44.639702,-63.499401,144,-4,US/Canada,America/Halifax,airport,POINT(-63.499401 44.639702)
24,St. Anthony Airport,St. Anthony,Canada,YAY,CYAY,51.3918991089,-56.083099365200006,108,-3.5,US/Canada,America/St_Johns,airport,POINT(-56.083099365200006 51.3918991089)
25,Tofino / Long Beach Airport,Tofino,Canada,YAZ,CYAZ,49.079833,-125.775583,80,-8,US/Canada,America/Vancouver,airport,POINT(-125.775583 49.079833)
26,Kugaaruk Airport,Pelly Bay,Canada,YBB,CYBB,68.534401,-89.808098,56,-7,US/Canada,America/Edmonton,airport,POINT(-89.808098 68.534401)
27,Baie Comeau Airport,Baie Comeau,Canada,YBC,CYBC,49.13249969482422,-68.20439910888672,71,-5,US/Canada,America/Toronto,airport,POINT(-68.20439910888672 49.13249969482422)
28,CFB Bagotville,Bagotville,Canada,YBG,CYBG,48.33060073852539,-70.99639892578125,522,-5,US/Canada,America/Toronto,airport,POINT(-70.99639892578125 48.33060073852539)
29,Baker Lake Airport,Baker Lake,Canada,YBK,CYBK,64.29889678960001,-96.077796936,59,-6,US/Canada,America/Winnipeg,airport,POINT(-96.077796936 64.29889678960001)
30,Campbell River Airport,Campbell River,Canada,YBL,CYBL,49.950801849365234,-125.27100372314452,346,-8,US/Canada,America/Vancouver,airport,POINT(-125.27100372314452 49.950801849365234)
31,Brandon Municipal Airport,Brandon,Canada,YBR,CYBR,49.91,-99.951897,1343,-6,US/Canada,America/Winnipeg,airport,POINT(-99.951897 49.91)
32,Cambridge Bay Airport,Cambridge Bay,Canada,YCB,CYCB,69.1081008911,-105.138000488,90,-7,US/Canada,America/Edmonton,airport,POINT(-105.138000488 69.1081008911)
33,Nanaimo Airport,Nanaimo,Canada,YCD,CYCD,49.0549702249,-123.869862556,92,-8,US/Canada,America/Vancouver,airport,POINT(-123.869862556 49.0549702249)
34,Castlegar/West Kootenay Regional Airport,Castlegar,Canada,YCG,CYCG,49.2963981628,-117.632003784,1624,-8,US/Canada,America/Vancouver,airport,POINT(-117.632003784 49.2963981628)
35,Miramichi Airport,Chatham,Canada,YCH,CYCH,47.007801,-65.449203,108,-4,US/Canada,America/Halifax,airport,POINT(-65.449203 47.007801)
36,Charlo Airport,Charlo,Canada,YCL,CYCL,47.990799,-66.330299,132,-4,US/Canada,America/Halifax,airport,POINT(-66.330299 47.990799)
37,Kugluktuk Airport,Coppermine,Canada,YCO,CYCO,67.816704,-115.143997,74,-7,US/Canada,America/Edmonton,airport,POINT(-115.143997 67.816704)
38,Coronation Airport,Coronation,Canada,YCT,CYCT,52.0750007629,-111.444999695,2595,-7,US/Canada,America/Edmonton,airport,POINT(-111.444999695 52.0750007629)
39,Chilliwack Airport,Chilliwack,Canada,YCW,CYCW,49.1528015137,-121.939002991,32,-8,US/Canada,America/Vancouver,airport,POINT(-121.939002991 49.1528015137)
40,Clyde River Airport,Clyde River,Canada,YCY,CYCY,70.4860992432,-68.5167007446,87,-5,US/Canada,America/Toronto,airport,POINT(-68.5167007446 70.4860992432)
41,Coral Harbour Airport,Coral Harbour,Canada,YZS,CYZS,64.1932983398,-83.3593978882,210,-5,US/Canada,America/Coral_Harbour,airport,POINT(-83.3593978882 64.1932983398)
42,Dawson City Airport,Dawson,Canada,YDA,CYDA,64.04309844970703,-139.1280059814453,1215,-8,US/Canada,America/Vancouver,airport,POINT(-139.1280059814453 64.04309844970703)
43,Burwash Airport,Burwash,Canada,YDB,CYDB,61.37110137939453,-139.04100036621094,2647,-8,US/Canada,America/Vancouver,airport,POINT(-139.04100036621094 61.37110137939453)
44,Princeton Airport,Princeton,Canada,Unknown,CYDC,49.4681015015,-120.511001587,2298,-8,US/Canada,America/Vancouver,airport,POINT(-120.511001587 49.4681015015)
45,Deer Lake Airport,Deer Lake,Canada,YDF,CYDF,49.21080017089844,-57.39139938354492,72,-3.5,US/Canada,America/St_Johns,airport,POINT(-57.39139938354492 49.21080017089844)
46,Dease Lake Airport,Dease Lake,Canada,YDL,CYDL,58.4221992493,-130.031997681,2600,-8,US/Canada,America/Vancouver,airport,POINT(-130.031997681 58.4221992493)
47,Dauphin Barker Airport,Dauphin,Canada,YDN,CYDN,51.10079956054688,-100.052001953125,999,-6,US/Canada,America/Winnipeg,airport,POINT(-100.052001953125 51.10079956054688)
48,Dawson Creek Airport,Dawson Creek,Canada,YDQ,CYDQ,55.7422981262207,-120.18299865722656,2148,-7,US/Canada,America/Dawson_Creek,airport,POINT(-120.18299865722656 55.7422981262207)
49,Edmonton International Airport,Edmonton,Canada,YEG,CYEG,53.3097000122,-113.580001831,2373,-7,US/Canada,America/Edmonton,airport,POINT(-113.580001831 53.3097000122)
50,Arviat Airport,Eskimo Point,Canada,YEK,CYEK,61.0942001343,-94.0708007812,32,-6,US/Canada,America/Winnipeg,airport,POINT(-94.0708007812 61.0942001343)
51,Estevan Airport,Estevan,Canada,YEN,CYEN,49.2103004456,-102.966003418,1905,-6,None,America/Regina,airport,POINT(-102.966003418 49.2103004456)
52,Edson Airport,Edson,Canada,YET,CYET,53.5788993835,-116.464996338,3043,-7,US/Canada,America/Edmonton,airport,POINT(-116.464996338 53.5788993835)
53,Eureka Airport,Eureka,Canada,YEU,CYEU,79.9946975708,-85.814201355,256,-6,US/Canada,America/Winnipeg,airport,POINT(-85.814201355 79.9946975708)
54,Inuvik Mike Zubko Airport,Inuvik,Canada,YEV,CYEV,68.30419921880001,-133.483001709,224,-7,US/Canada,America/Edmonton,airport,POINT(-133.483001709 68.30419921880001)
55,Iqaluit Airport,Iqaluit,Canada,YFB,CYFB,63.756402,-68.555801,110,-5,US/Canada,America/Toronto,airport,POINT(-68.555801 63.756402)
56,Fredericton Airport,Fredericton,Canada,YFC,CYFC,45.868900299072266,-66.53720092773438,68,-4,US/Canada,America/Halifax,airport,POINT(-66.53720092773438 45.868900299072266)
57,Forestville Airport,Forestville,Canada,YFE,CYFE,48.74610137939453,-69.09719848632812,293,-5,US/Canada,America/Toronto,airport,POINT(-69.09719848632812 48.74610137939453)
58,Flin Flon Airport,Flin Flon,Canada,YFO,CYFO,54.6781005859375,-101.68199920654295,997,-6,US/Canada,America/Winnipeg,airport,POINT(-101.68199920654295 54.6781005859375)
59,Fort Resolution Airport,Fort Resolution,Canada,YFR,CYFR,61.1808013916,-113.690002441,526,-7,US/Canada,America/Edmonton,airport,POINT(-113.690002441 61.1808013916)
60,Fort Simpson Airport,Fort Simpson,Canada,YFS,CYFS,61.76020050048828,-121.23699951171876,555,-7,US/Canada,America/Edmonton,airport,POINT(-121.23699951171876 61.76020050048828)
61,Kingston Norman Rogers Airport,Kingston,Canada,YGK,CYGK,44.22529983520508,-76.5969009399414,305,-5,US/Canada,America/Toronto,airport,POINT(-76.5969009399414 44.22529983520508)
62,La Grande Rivière Airport,La Grande Riviere,Canada,YGL,CYGL,53.625301361083984,-77.7042007446289,639,-5,US/Canada,America/Toronto,airport,POINT(-77.7042007446289 53.625301361083984)
63,Gaspé (Michel-Pouliot) Airport,Gaspe,Canada,YGP,CYGP,48.7752990723,-64.4785995483,112,-5,US/Canada,America/Toronto,airport,POINT(-64.4785995483 48.7752990723)
64,Geraldton Greenstone Regional Airport,Geraldton,Canada,YGQ,CYGQ,49.77830123901367,-86.93939971923828,1144,-5,US/Canada,America/Toronto,airport,POINT(-86.93939971923828 49.77830123901367)
65,Îles-de-la-Madeleine Airport,Iles De La Madeleine,Canada,YGR,CYGR,47.42470169067383,-61.778099060058594,35,-5,US/Canada,America/Toronto,airport,POINT(-61.778099060058594 47.42470169067383)
66,Hudson Bay Airport,Hudson Bay,Canada,YHB,CYHB,52.8166999817,-102.310997009,1175,-6,None,America/Regina,airport,POINT(-102.310997009 52.8166999817)
67,Dryden Regional Airport,Dryden,Canada,YHD,CYHD,49.831699,-92.744202,1354,-6,US/Canada,America/Winnipeg,airport,POINT(-92.744202 49.831699)
68,Ulukhaktok Holman Airport,Holman Island,Canada,YHI,CYHI,70.76280212402344,-117.80599975585938,117,-7,US/Canada,America/Edmonton,airport,POINT(-117.80599975585938 70.76280212402344)
